product_id,url,position
1,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp,1
2,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp,1
3,https://cdn.dummyjson.com/product-images/beauty/powder-canister/1.webp,1
4,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp,1
5,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/1.webp,1
6,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp,1
6,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/2.webp,2
6,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/3.webp,3
7,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/1.webp,1
7,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/2.webp,2
7,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/3.webp,3
8,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp,1
8,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/2.webp,2
8,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/3.webp,3
9,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/1.webp,1
9,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/2.webp,2
9,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/3.webp,3
10,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/1.webp,1
10,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/2.webp,2
10,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/3.webp,3
11,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/1.webp,1
11,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/2.webp,2
11,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/3.webp,3
12,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/1.webp,1
12,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/2.webp,2
12,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/3.webp,3
13,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/1.webp,1
13,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/2.webp,2
13,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/3.webp,3
14,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/1.webp,1
14,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/2.webp,2
14,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/3.webp,3
15,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/1.webp,1
15,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/2.webp,2
15,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/3.webp,3
16,https://cdn.dummyjson.com/product-images/groceries/apple/1.webp,1
