product_id,tag_id
1,1
1,2
2,1
2,3
3,1
3,4
4,1
4,5
5,1
5,6
6,7
6,8
7,7
7,8
8,7
8,8
9,7
9,8
10,7
10,8
11,9
11,10
12,9
12,11
13,9
13,12
14,9
14,13
15,9
15,14
16,15
17,16
18,17
18,18
19,16
20,19
21,20
22,17
22,21
23,22
24,23
25,20
26,20
27,24
28,25
29,26
30,15
31,15
32,22
33,15
34,26
34,27
35,20
36,28
37,20
38,29
39,26
40,15
41,30
42,26
43,31
43,32
44,31
44,33
45,31
45,34
46,31
46,35
47,31
47,36
48,37
48,38
49,39
49,40
50,37
50,38
51,41
51,42
52,43
52,44
53,37
53,45
54,37
54,46
55,37
55,47
56,41
56,48
57,37
57,49
58,37
58,38
59,39
59,50
60,37
60,51
61,41
61,42
62,37
62,52
63,37
63,49
64,37
64,53
65,37
65,54
66,41
66,55
67,37
67,56
68,43
68,57
69,58
69,59
70,37
70,60
71,43
71,61
72,37
72,62
73,37
73,56
74,37
74,38
75,63
75,64
76,37
76,65
77,37
77,66
78,67
78,68
79,67
80,67
81,67
82,67
83,69
83,70
84,69
84,71
85,69
85,70
86,69
86,70
87,69
87,70
88,72
88,73
89,72
89,74
90,72
90,75
91,72
91,73
92,72
92,75
93,76
93,77
94,76
94,78
95,76
95,78
96,76
96,78
97,76
97,78
98,76
98,78
99,79
99,80
100,79
100,81
101,79
101,82
102,79
102,83
103,79
103,80
104,79
104,84
105,79
105,85
106,79
106,86
107,79
107,81
108,79
108,87
109,79
109,88
110,79
110,89
111,79
111,89
112,79
112,88
113,90
114,90
114,91
115,90
115,91
116,90
116,92
117,90
117,91
118,93
118,94
119,93
119,95
120,93
120,96
121,97
121,68
122,97
122,68
123,97
123,68
124,97
124,68
125,97
125,98
126,97
126,98
127,97
127,98
128,97
128,99
129,97
129,99
130,97
130,99
131,97
131,100
132,97
132,100
133,97
133,100
134,97
134,101
135,97
135,101
136,97
136,101
137,102
137,103
138,102
138,104
139,102
139,104
140,102
140,105
141,102
141,105
142,102
142,106
143,102
143,106
144,102
144,106
145,102
145,106
146,102
146,107
147,102
147,108
148,102
148,109
149,102
149,109
150,102
150,104
151,102
151,110
152,102
152,110
153,102
153,111
154,112
154,113
155,112
155,113
156,112
156,113
157,112
157,114
158,112
158,113
159,79
159,115
160,79
160,115
161,79
161,115
162,69
162,116
163,69
163,117
164,69
164,116
165,69
165,116
166,69
166,116
167,118
167,119
168,118
168,120
168,119
169,121
169,122
169,119
170,123
170,119
171,124
171,119
172,125
172,126
173,125
173,127
174,125
174,128
175,125
175,129
176,125
176,126
177,69
177,130
178,69
178,131
178,132
179,69
179,131
179,132
180,69
180,116
181,69
181,133
182,125
182,134
183,125
183,134
184,125
184,134
185,72
185,135
186,72
186,136
187,72
187,137
188,72
188,75
189,72
189,137
190,76
190,78
191,76
191,78
192,76
192,78
192,138
193,76
193,138
194,76
194,138
